K3T,1,7999902,,,5,,,,,,,,,,
K3T,1,7999902,,,5,,,,,,,,,,
K3T,1,7999902,,,6,,,,,,,,,,
K3T,1,795505,,,8,,,,,,,,,,
K3T,1,795505,,,8,,,,,,,,,,
K3T,1,795505,,,8,,,,,,,,,,
K3T,1,795505,,,8,,,,,,,,,,
K3T,1,795505,,,8,,,,,,,,,,
K3T,1,743034,,,3,,,,,,,,,,
K3T,1,743034,,,4,,,,,,,,,,
K3T,1,743034,,,3,,,,,,,,,,
K3T,1,743034,,,4,,,,,,,,,,
K3T,1,743034,,,4,,,,,,,,,,
K3T,1,798924,,,7.08,,,,,,,,,,
K3T,1,798924,,,7.15,,,,,,,,,,
K3T,1,798924,,,7.33,,,,,,,,,,
K3T,1,7999903,,,3,,,,,,,,,,
K3T,1,7999903,,,3,,,,,,,,,,
K3T,1,7999903,,,3,,,,,,,,,,
K3T,1,7999903,,,9,,,,,,,,,,
K3T,1,7999903,,,10,,,,,,,,,,
K3T,1,7999903,,,9,,,,,,,,,,
K3T,1,7999903,,,3,,,,,,,,,,
K3T,1,7999903,,,1,,,,,,,,,,
K3T,1,214656,,,8,,,,,,,,,,
K3T,1,214656,,,8,,,,,,,,,,
K3T,1,214656,,,8,,,,,,,,,,
K3T,1,214656,,,8,,,,,,,,,,
K3T,1,214656,,,8,,,,,,,,,,
