employeeid,locationId,clockintime,clockintype,deleted,externalId,role
523032,1331,2024-12-28T16:30:00Z,ShiftBegin,,523032-1331-12-29-20240:30,crew
523032,1331,2024-12-28T20:25:00Z,MealBreakBegin,,523032-1331-12-29-20244:25,crew
523032,1331,2024-12-28T20:55:00Z,MealBreakEnd,,523032-1331-12-29-20244:55,crew
523032,1331,2024-12-29T01:07:00Z,Out Punch,,523032-1331-12-29-20249:07,crew
523032,1331,2024-12-29T22:00:00Z,ShiftBegin,,523032-1331-12-30-20246:00,crew
523032,1331,2024-12-30T02:02:00Z,MealBreakBegin,,523032-1331-12-30-202410:02,crew
523032,1331,2024-12-30T20:00:00Z,ShiftBegin,,523032-1331-12-31-20244:00,crew
523032,1331,2024-12-31T00:02:00Z,MealBreakBegin,,523032-1331-12-31-20248:02,crew
523032,1331,2025-01-02T20:00:00Z,ShiftBegin,,523032-1331-1-3-20254:00,crew
523032,1331,2025-01-03T00:05:00Z,MealBreakBegin,,523032-1331-1-3-20258:05,crew
523032,1331,2025-01-10T20:00:00Z,ShiftBegin,,523032-1331-1-11-20254:00,crew
523032,1331,2025-01-11T00:03:00Z,ShiftEnd,,523032-1331-1-11-20258:03,crew
846928,1331,2024-12-28T16:40:00Z,ShiftBegin,,846928-1331-12-29-20240:40,crew
846928,1331,2024-12-28T20:24:00Z,MealBreakBegin,,846928-1331-12-29-20244:24,crew
846928,1331,2024-12-28T20:58:00Z,MealBreakEnd,,846928-1331-12-29-20244:58,crew
846928,1331,2024-12-28T22:02:00Z,Out Punch,,846928-1331-12-29-20246:02,crew
846928,1331,2024-12-30T20:00:00Z,ShiftBegin,,846928-1331-12-31-20244:00,crew
846928,1331,2024-12-30T23:59:00Z,MealBreakBegin,,846928-1331-12-31-20247:59,crew
846928,1331,2024-12-31T00:30:00Z,MealBreakEnd,,846928-1331-12-31-20248:30,crew
846928,1331,2024-12-31T02:15:00Z,Out Punch,,846928-1331-12-31-202410:15,crew
846928,1331,2025-01-01T03:00:00Z,ShiftBegin,,846928-1331-1-1-202511:00,crew
846928,1331,2025-01-01T07:11:00Z,MealBreakBegin,,846928-1331-1-1-202515:11,crew
846928,1331,2025-01-06T23:56:00Z,ShiftBegin,,846928-1331-1-7-20257:56,crew
846928,1331,2025-01-07T04:39:00Z,MealBreakBegin,,846928-1331-1-7-202512:39,crew
846928,1331,2025-01-09T01:58:00Z,ShiftBegin,,846928-1331-1-9-20259:58,crew
846928,1331,2025-01-09T06:42:00Z,MealBreakBegin,,846928-1331-1-9-202514:42,crew
846928,1331,2025-01-09T07:13:00Z,MealBreakEnd,,846928-1331-1-9-202515:13,crew
846928,1331,2025-01-09T11:02:00Z,Out Punch,,846928-1331-1-9-202519:02,crew
846928,1331,2025-01-10T09:00:00Z,ShiftBegin,,846928-1331-1-10-202517:00,crew
846928,1331,2025-01-10T13:01:00Z,ShiftEnd,,846928-1331-1-10-202521:01,crew
712217,1314,2024-12-28T18:01:00Z,ShiftBegin,,712217-1314-12-29-20242:01,crew
712217,1314,2024-12-28T21:33:00Z,MealBreakBegin,,712217-1314-12-29-20245:33,crew
712217,1314,2024-12-28T22:03:00Z,MealBreakEnd,,712217-1314-12-29-20246:03,crew
712217,1314,2024-12-29T02:01:00Z,Out Punch,,712217-1314-12-29-202410:01,crew
712217,1314,2024-12-29T22:02:00Z,ShiftBegin,,712217-1314-12-30-20246:02,crew
712217,1314,2024-12-30T02:34:00Z,MealBreakBegin,,712217-1314-12-30-202410:34,crew
712217,1314,2024-12-30T03:04:00Z,MealBreakEnd,,712217-1314-12-30-202411:04,crew
712217,1314,2024-12-30T06:06:00Z,Out Punch,,712217-1314-12-30-202414:06,crew
712217,1314,2024-12-30T20:00:00Z,ShiftBegin,,712217-1314-12-31-20244:00,crew
712217,1314,2024-12-31T00:09:00Z,MealBreakBegin,,712217-1314-12-31-20248:09,crew
712217,1314,2024-12-31T00:39:00Z,MealBreakEnd,,712217-1314-12-31-20248:39,crew
712217,1314,2024-12-31T04:37:00Z,Out Punch,,712217-1314-12-31-202412:37,crew
712217,1314,2025-01-01T00:55:00Z,ShiftBegin,,712217-1314-1-1-20258:55,crew
712217,1314,2025-01-01T05:11:00Z,MealBreakBegin,,712217-1314-1-1-202513:11,crew
712217,1314,2025-01-01T05:41:00Z,MealBreakEnd,,712217-1314-1-1-202513:41,crew
712217,1314,2025-01-01T09:01:00Z,Out Punch,,712217-1314-1-1-202517:01,crew
712217,1314,2025-01-02T19:59:00Z,ShiftBegin,,712217-1314-1-3-20253:59,crew
712217,1314,2025-01-03T00:07:00Z,MealBreakBegin,,712217-1314-1-3-20258:07,crew
712217,1314,2025-01-03T00:37:00Z,MealBreakEnd,,712217-1314-1-3-20258:37,crew
712217,1314,2025-01-03T04:38:00Z,Out Punch,,712217-1314-1-3-202512:38,crew
712217,1314,2025-01-05T00:04:00Z,ShiftBegin,,712217-1314-1-5-20258:04,crew
712217,1314,2025-01-05T04:25:00Z,MealBreakBegin,,712217-1314-1-5-202512:25,crew
712217,1314,2025-01-05T04:55:00Z,MealBreakEnd,,712217-1314-1-5-202512:55,crew
712217,1314,2025-01-05T08:39:00Z,Out Punch,,712217-1314-1-5-202516:39,crew
712217,1314,2025-01-07T00:03:00Z,ShiftBegin,,712217-1314-1-7-20258:03,crew
712217,1314,2025-01-07T04:37:00Z,MealBreakBegin,,712217-1314-1-7-202512:37,crew
712217,1314,2025-01-07T05:07:00Z,MealBreakEnd,,712217-1314-1-7-202513:07,crew
712217,1314,2025-01-07T08:42:00Z,Out Punch,,712217-1314-1-7-202516:42,crew
712217,1314,2025-01-07T20:00:00Z,ShiftBegin,,712217-1314-1-8-20254:00,crew
712217,1314,2025-01-08T00:05:00Z,MealBreakBegin,,712217-1314-1-8-20258:05,crew
712217,1314,2025-01-08T00:35:00Z,MealBreakEnd,,712217-1314-1-8-20258:35,crew
712217,1314,2025-01-08T04:46:00Z,Out Punch,,712217-1314-1-8-202512:46,crew
712217,1314,2025-01-10T20:00:00Z,ShiftBegin,,712217-1314-1-11-20254:00,crew
