employeeid,locationId,clockintime,clockintype,deleted,externalId,role
781790,3039,2024-06-29T14:31:00Z,ShiftEnd,,781790-3039-6-30-2412:01AM,'crew'
781790,3039,2024-06-29T23:59:00Z,ShiftBegin,,781790-3039-6-30-249:29AM,'crew'
781790,3039,2024-06-30T05:36:00Z,ShiftEnd,,781790-3039-6-30-243:06PM,'crew'
586964,5055,2024-06-29T19:30:00Z,ShiftBegin,,586964-5055-6-30-245:00AM,'crew'
586964,5055,2024-06-30T04:30:00Z,ShiftEnd,,586964-5055-6-30-242:00PM,'crew'
820257,3052,2024-06-29T19:38:00Z,ShiftBegin,,820257-3052-6-30-245:08AM,'crew'
820257,3052,2024-06-30T03:00:00Z,MealBreakBegin,,820257-3052-6-30-2412:30PM,'crew'
820257,3052,2024-06-30T03:24:00Z,MealBreakEnd,,820257-3052-6-30-2412:54PM,'crew'
820257,3052,2024-06-30T06:00:00Z,ShiftEnd,,820257-3052-6-30-243:30PM,'crew'
806945,3037,2024-06-29T19:38:00Z,ShiftBegin,,806945-3037-6-30-245:08AM,'crew'
806945,3037,2024-06-30T02:36:00Z,MealBreakBegin,,806945-3037-6-30-2412:06PM,'crew'
806945,3037,2024-06-30T03:12:00Z,MealBreakEnd,,806945-3037-6-30-2412:42PM,'crew'
806945,3037,2024-06-30T04:31:00Z,ShiftEnd,,806945-3037-6-30-242:01PM,'crew'
789626,3052,2024-06-29T20:16:00Z,ShiftBegin,,789626-3052-6-30-245:46AM,'crew'
789626,3052,2024-06-30T00:38:00Z,ShiftEnd,,789626-3052-6-30-2410:08AM,'crew'
611287,5053,2024-06-29T20:23:00Z,ShiftBegin,,611287-5053-6-30-245:53AM,'crew'
611287,5053,2024-06-30T01:40:00Z,ShiftEnd,,611287-5053-6-30-2411:10AM,'crew'
833288,3013,2024-06-29T20:29:00Z,ShiftBegin,,833288-3013-6-30-245:59AM,'crew'
833288,3013,2024-06-30T00:17:00Z,MealBreakBegin,,833288-3013-6-30-249:47AM,'crew'
833288,3013,2024-06-30T00:46:00Z,MealBreakEnd,,833288-3013-6-30-2410:16AM,'crew'
833288,3013,2024-06-30T04:35:00Z,ShiftEnd,,833288-3013-6-30-242:05PM,'crew'
771313,3052,2024-06-29T20:30:00Z,ShiftBegin,,771313-3052-6-30-246:00AM,'crew'
771313,3052,2024-06-30T03:23:00Z,ShiftEnd,,771313-3052-6-30-2412:53PM,'crew'
704577,3049,2024-06-29T20:30:00Z,ShiftBegin,,704577-3049-6-30-246:00AM,'crew'
704577,3049,2024-06-30T05:30:00Z,ShiftEnd,,704577-3049-6-30-243:00PM,'crew'
723841,5088,2024-06-29T20:30:00Z,ShiftBegin,,723841-5088-6-30-246:00AM,'crew'
723841,5088,2024-06-30T05:08:00Z,ShiftEnd,,723841-5088-6-30-242:38PM,'crew'
736918,3028,2024-06-29T20:30:00Z,ShiftBegin,,736918-3028-6-30-246:00AM,'crew'
736918,3028,2024-06-30T03:30:00Z,ShiftEnd,,736918-3028-6-30-241:00PM,'crew'
586962,5058,2024-06-29T20:30:00Z,ShiftBegin,,586962-5058-6-30-246:00AM,'crew'
586962,5058,2024-06-30T08:00:00Z,ShiftEnd,,586962-5058-6-30-245:30PM,'crew'
787380,3013,2024-06-29T20:30:00Z,ShiftBegin,,787380-3013-6-30-246:00AM,'crew'
787380,3013,2024-06-30T01:20:00Z,ShiftEnd,,787380-3013-6-30-2410:50AM,'crew'
766614,3013,2024-06-29T20:32:00Z,ShiftBegin,,766614-3013-6-30-246:02AM,'crew'
766614,3013,2024-06-30T00:31:00Z,ShiftEnd,,766614-3013-6-30-2410:01AM,'crew'
708295,3013,2024-06-29T20:32:00Z,ShiftBegin,,708295-3013-6-30-246:02AM,'crew'
708295,3013,2024-06-30T01:07:00Z,ShiftEnd,,708295-3013-6-30-2410:37AM,'crew'
537205,3068,2024-06-29T20:33:00Z,ShiftBegin,,537205-3068-6-30-246:03AM,'crew'
537205,3068,2024-06-30T03:06:00Z,ShiftEnd,,537205-3068-6-30-2412:36PM,'crew'
595046,5088,2024-06-29T20:34:00Z,ShiftBegin,,595046-5088-6-30-246:04AM,'crew'
595046,5088,2024-06-30T05:08:00Z,ShiftEnd,,595046-5088-6-30-242:38PM,'crew'
809160,3013,2024-06-29T20:34:00Z,ShiftBegin,,809160-3013-6-30-246:04AM,'crew'
809160,3013,2024-06-30T00:30:00Z,MealBreakBegin,,809160-3013-6-30-2410:00AM,'crew'
809160,3013,2024-06-30T01:00:00Z,MealBreakEnd,,809160-3013-6-30-2410:30AM,'crew'
809160,3013,2024-06-30T02:31:00Z,ShiftEnd,,809160-3013-6-30-2412:01PM,'crew'
780648,3073,2024-06-29T21:24:00Z,ShiftBegin,,780648-3073-6-30-246:54AM,'crew'
780648,3073,2024-06-30T01:52:00Z,ShiftEnd,,780648-3073-6-30-2411:22AM,'crew'
832783,3075,2024-06-29T21:24:00Z,ShiftBegin,,832783-3075-6-30-246:54AM,'crew'
832783,3075,2024-06-30T02:21:00Z,MealBreakBegin,,832783-3075-6-30-2411:51AM,'crew'
832783,3075,2024-06-30T02:48:00Z,MealBreakEnd,,832783-3075-6-30-2412:18PM,'crew'
832783,3075,2024-06-30T06:32:00Z,ShiftEnd,,832783-3075-6-30-244:02PM,'crew'
775949,3058,2024-06-29T21:28:00Z,ShiftBegin,,775949-3058-6-30-246:58AM,'crew'
775949,3058,2024-06-30T02:31:00Z,ShiftEnd,,775949-3058-6-30-2412:01PM,'crew'
797336,3046,2024-06-29T21:28:00Z,ShiftBegin,,797336-3046-6-30-246:58AM,'crew'
797336,3046,2024-06-30T04:28:00Z,ShiftEnd,,797336-3046-6-30-241:58PM,'crew'
755538,3046,2024-06-29T21:28:00Z,ShiftBegin,,755538-3046-6-30-246:58AM,'crew'
755538,3046,2024-06-30T05:43:00Z,ShiftEnd,,755538-3046-6-30-243:13PM,'crew'
786844,3034,2024-06-29T21:29:00Z,ShiftBegin,,786844-3034-6-30-246:59AM,'crew'
786844,3034,2024-06-30T03:39:00Z,ShiftEnd,,786844-3034-6-30-241:09PM,'crew'
806679,3049,2024-06-29T21:29:00Z,ShiftBegin,,806679-3049-6-30-246:59AM,'crew'
806679,3049,2024-06-30T05:27:00Z,ShiftEnd,,806679-3049-6-30-242:57PM,'crew'
829724,3073,2024-06-29T21:29:00Z,ShiftBegin,,829724-3073-6-30-246:59AM,'crew'
829724,3073,2024-06-30T01:51:00Z,ShiftEnd,,829724-3073-6-30-2411:21AM,'crew'
781425,5054,2024-06-29T21:30:00Z,ShiftBegin,,781425-5054-6-30-247:00AM,'crew'
781425,5054,2024-06-30T02:30:00Z,ShiftEnd,,781425-5054-6-30-2412:00PM,'crew'
791949,3075,2024-06-29T21:30:00Z,ShiftBegin,,791949-3075-6-30-247:00AM,'crew'
791949,3075,2024-06-30T00:30:00Z,MealBreakBegin,,791949-3075-6-30-2410:00AM,'crew'
791949,3075,2024-06-30T01:30:00Z,MealBreakEnd,,791949-3075-6-30-2411:00AM,'crew'
791949,3075,2024-06-30T02:30:00Z,ShiftEnd,,791949-3075-6-30-2412:00PM,'crew'
744404,3030,2024-06-29T21:30:00Z,ShiftBegin,,744404-3030-6-30-247:00AM,'crew'
744404,3030,2024-06-30T03:12:00Z,ShiftEnd,,744404-3030-6-30-2412:42PM,'crew'
626071,5054,2024-06-29T21:31:00Z,ShiftBegin,,626071-5054-6-30-247:01AM,'crew'
626071,5054,2024-06-30T07:01:00Z,ShiftEnd,,626071-5054-6-30-244:31PM,'crew'
700842,5054,2024-06-29T21:32:00Z,ShiftBegin,,700842-5054-6-30-247:02AM,'crew'
700842,5054,2024-06-30T02:39:00Z,ShiftEnd,,700842-5054-6-30-2412:09PM,'crew'
828052,5058,2024-06-29T21:34:00Z,ShiftBegin,,828052-5058-6-30-247:04AM,'crew'
828052,5058,2024-06-30T03:18:00Z,ShiftEnd,,828052-5058-6-30-2412:48PM,'crew'
835273,3073,2024-06-29T21:34:00Z,ShiftBegin,,835273-3073-6-30-247:04AM,'crew'
835273,3073,2024-06-30T01:51:00Z,ShiftEnd,,835273-3073-6-30-2411:21AM,'crew'
836726,5058,2024-06-29T21:34:00Z,ShiftBegin,,836726-5058-6-30-247:04AM,'crew'
836726,5058,2024-06-30T02:41:00Z,ShiftEnd,,836726-5058-6-30-2412:11PM,'crew'
587838,5105,2024-06-29T21:36:00Z,ShiftBegin,,587838-5105-6-30-247:06AM,'crew'
587838,5105,2024-06-30T03:35:00Z,ShiftEnd,,587838-5105-6-30-241:05PM,'crew'
700542,5054,2024-06-29T21:36:00Z,ShiftBegin,,700542-5054-6-30-247:06AM,'crew'
700542,5054,2024-06-30T07:06:00Z,ShiftEnd,,700542-5054-6-30-244:36PM,'crew'
741980,5105,2024-06-29T21:42:00Z,ShiftBegin,,741980-5105-6-30-247:12AM,'crew'
741980,5105,2024-06-30T02:36:00Z,MealBreakBegin,,741980-5105-6-30-2412:06PM,'crew'
741980,5105,2024-06-30T03:02:00Z,MealBreakEnd,,741980-5105-6-30-2412:32PM,'crew'
741980,5105,2024-06-30T06:32:00Z,ShiftEnd,,741980-5105-6-30-244:02PM,'crew'
799214,3032,2024-06-29T21:56:00Z,ShiftBegin,,799214-3032-6-30-247:26AM,'crew'
799214,3032,2024-06-30T04:01:00Z,ShiftEnd,,799214-3032-6-30-241:31PM,'crew'
758945,3098,2024-06-29T21:57:00Z,ShiftBegin,,758945-3098-6-30-247:27AM,'crew'
758945,3098,2024-06-30T04:34:00Z,ShiftEnd,,758945-3098-6-30-242:04PM,'crew'
832947,3098,2024-06-29T21:58:00Z,ShiftBegin,,832947-3098-6-30-247:28AM,'crew'
832947,3098,2024-06-30T02:06:00Z,ShiftEnd,,832947-3098-6-30-2411:36AM,'crew'
779299,3032,2024-06-29T21:59:00Z,ShiftBegin,,779299-3032-6-30-247:29AM,'crew'
779299,3032,2024-06-30T02:44:00Z,MealBreakBegin,,779299-3032-6-30-2412:14PM,'crew'
779299,3032,2024-06-30T03:12:00Z,MealBreakEnd,,779299-3032-6-30-2412:42PM,'crew'
779299,3032,2024-06-30T04:32:00Z,ShiftEnd,,779299-3032-6-30-242:02PM,'crew'
527479,5059,2024-06-29T22:25:00Z,ShiftBegin,,527479-5059-6-30-247:55AM,'crew'
527479,5059,2024-06-30T04:35:00Z,ShiftEnd,,527479-5059-6-30-242:05PM,'crew'
791630,3011,2024-06-29T22:29:00Z,ShiftBegin,,791630-3011-6-30-247:59AM,'crew'
791630,3011,2024-06-30T03:19:00Z,ShiftEnd,,791630-3011-6-30-2412:49PM,'crew'
798250,5059,2024-06-29T22:29:00Z,ShiftBegin,,798250-5059-6-30-247:59AM,'crew'
798250,5059,2024-06-30T02:50:00Z,MealBreakBegin,,798250-5059-6-30-2412:20PM,'crew'
798250,5059,2024-06-30T03:21:00Z,MealBreakEnd,,798250-5059-6-30-2412:51PM,'crew'
798250,5059,2024-06-30T04:32:00Z,ShiftEnd,,798250-5059-6-30-242:02PM,'crew'
829273,3080,2024-06-29T22:29:00Z,ShiftBegin,,829273-3080-6-30-247:59AM,'crew'
829273,3080,2024-06-30T04:12:00Z,ShiftEnd,,829273-3080-6-30-241:42PM,'crew'
732614,3015,2024-06-29T22:29:00Z,ShiftBegin,,732614-3015-6-30-247:59AM,'crew'
732614,3015,2024-06-30T06:32:00Z,ShiftEnd,,732614-3015-6-30-244:02PM,'crew'
586966,5088,2024-06-29T22:30:00Z,ShiftBegin,,586966-5088-6-30-248:00AM,'crew'
586966,5088,2024-06-30T07:30:00Z,ShiftEnd,,586966-5088-6-30-245:00PM,'crew'
745400,3043,2024-06-29T22:30:00Z,ShiftBegin,,745400-3043-6-30-248:00AM,'crew'
745400,3043,2024-06-30T01:30:00Z,MealBreakBegin,,745400-3043-6-30-2411:00AM,'crew'
745400,3043,2024-06-30T02:00:00Z,MealBreakEnd,,745400-3043-6-30-2411:30AM,'crew'
745400,3043,2024-06-30T03:30:00Z,ShiftEnd,,745400-3043-6-30-241:00PM,'crew'
748777,3043,2024-06-29T22:30:00Z,ShiftBegin,,748777-3043-6-30-248:00AM,'crew'
748777,3043,2024-06-30T01:30:00Z,MealBreakBegin,,748777-3043-6-30-2411:00AM,'crew'
748777,3043,2024-06-30T02:00:00Z,MealBreakEnd,,748777-3043-6-30-2411:30AM,'crew'
748777,3043,2024-06-30T03:31:00Z,ShiftEnd,,748777-3043-6-30-241:01PM,'crew'
839018,3015,2024-06-29T22:30:00Z,ShiftBegin,,839018-3015-6-30-248:00AM,'crew'
839018,3015,2024-06-30T02:32:00Z,ShiftEnd,,839018-3015-6-30-2412:02PM,'crew'
786953,3037,2024-06-29T22:30:00Z,ShiftBegin,,786953-3037-6-30-248:00AM,'crew'
786953,3037,2024-06-30T01:47:00Z,ShiftEnd,,786953-3037-6-30-2411:17AM,'crew'
781828,3037,2024-06-29T22:30:00Z,ShiftBegin,,781828-3037-6-30-248:00AM,'crew'
781828,3037,2024-06-30T05:30:00Z,ShiftEnd,,781828-3037-6-30-243:00PM,'crew'
836469,3037,2024-06-29T22:31:00Z,ShiftBegin,,836469-3037-6-30-248:01AM,'crew'
836469,3037,2024-06-30T01:37:00Z,ShiftEnd,,836469-3037-6-30-2411:07AM,'crew'
782333,3037,2024-06-29T22:32:00Z,ShiftBegin,,782333-3037-6-30-248:02AM,'crew'
782333,3037,2024-06-30T01:47:00Z,ShiftEnd,,782333-3037-6-30-2411:17AM,'crew'
823055,3028,2024-06-29T22:39:00Z,ShiftBegin,,823055-3028-6-30-248:09AM,'crew'
823055,3028,2024-06-30T02:53:00Z,MealBreakBegin,,823055-3028-6-30-2412:23PM,'crew'
823055,3028,2024-06-30T03:25:00Z,MealBreakEnd,,823055-3028-6-30-2412:55PM,'crew'
823055,3028,2024-06-30T06:20:00Z,ShiftEnd,,823055-3028-6-30-243:50PM,'crew'
829919,5060,2024-06-29T22:41:00Z,ShiftBegin,,829919-5060-6-30-248:11AM,'crew'
829919,5060,2024-06-30T04:05:00Z,ShiftEnd,,829919-5060-6-30-241:35PM,'crew'
686381,5060,2024-06-29T22:41:00Z,ShiftBegin,,686381-5060-6-30-248:11AM,'crew'
686381,5060,2024-06-30T07:35:00Z,ShiftEnd,,686381-5060-6-30-245:05PM,'crew'
833324,3036,2024-06-29T22:46:00Z,ShiftBegin,,833324-3036-6-30-248:16AM,'crew'
833324,3036,2024-06-30T04:46:00Z,ShiftEnd,,833324-3036-6-30-242:16PM,'crew'
836521,3077,2024-06-29T23:00:00Z,ShiftBegin,,836521-3077-6-30-248:30AM,'crew'
836521,3077,2024-06-30T03:31:00Z,ShiftEnd,,836521-3077-6-30-241:01PM,'crew'
770426,3025,2024-06-29T23:07:00Z,ShiftBegin,,770426-3025-6-30-248:37AM,'crew'
770426,3025,2024-06-30T04:40:00Z,ShiftEnd,,770426-3025-6-30-242:10PM,'crew'
836200,3077,2024-06-29T23:15:00Z,ShiftBegin,,836200-3077-6-30-248:45AM,'crew'
836200,3077,2024-06-30T03:33:00Z,ShiftEnd,,836200-3077-6-30-241:03PM,'crew'
