employeeid,locationId,clockintime,clockintype,deleted,externalId,role
781790,3039,2024-06-29T14:31:00Z,ShiftEnd,,781790-3039-6/30/2412:01AM,
781790,3039,2024-06-29T23:59:00Z,ShiftBegin,,781790-3039-6/30/249:29AM,
781790,3039,2024-06-30T05:36:00Z,MealBreakBegin,,781790-3039-6/30/243:06PM,
586964,5055,2024-06-29T19:30:00Z,ShiftBegin,,586964-5055-6/30/245:00AM,
586964,5055,2024-06-30T04:30:00Z,MealBreakBegin,,586964-5055-6/30/242:00PM,
820257,3052,2024-06-29T19:38:00Z,ShiftBegin,,820257-3052-6/30/245:08AM,
820257,3052,2024-06-30T03:00:00Z,MealBreakBegin,,820257-3052-6/30/2412:30PM,
820257,3052,2024-06-30T03:24:00Z,MealBreakEnd,,820257-3052-6/30/2412:54PM,
820257,3052,2024-06-30T06:00:00Z,ShiftEnd,,820257-3052-6/30/243:30PM,
806945,3037,2024-06-29T19:38:00Z,ShiftBegin,,806945-3037-6/30/245:08AM,
806945,3037,2024-06-30T02:36:00Z,MealBreakBegin,,806945-3037-6/30/2412:06PM,
806945,3037,2024-06-30T03:12:00Z,MealBreakEnd,,806945-3037-6/30/2412:42PM,
806945,3037,2024-06-30T04:31:00Z,ShiftEnd,,806945-3037-6/30/242:01PM,
789626,3052,2024-06-29T20:16:00Z,ShiftBegin,,789626-3052-6/30/245:46AM,
789626,3052,2024-06-30T00:38:00Z,MealBreakBegin,,789626-3052-6/30/2410:08AM,
611287,5053,2024-06-29T20:23:00Z,ShiftBegin,,611287-5053-6/30/245:53AM,
611287,5053,2024-06-30T01:40:00Z,MealBreakBegin,,611287-5053-6/30/2411:10AM,
833288,3013,2024-06-29T20:29:00Z,ShiftBegin,,833288-3013-6/30/245:59AM,
833288,3013,2024-06-30T00:17:00Z,MealBreakBegin,,833288-3013-6/30/249:47AM,
833288,3013,2024-06-30T00:46:00Z,MealBreakEnd,,833288-3013-6/30/2410:16AM,
833288,3013,2024-06-30T04:35:00Z,ShiftEnd,,833288-3013-6/30/242:05PM,
771313,3052,2024-06-29T20:30:00Z,ShiftBegin,,771313-3052-6/30/246:00AM,
771313,3052,2024-06-30T03:23:00Z,MealBreakBegin,,771313-3052-6/30/2412:53PM,
